輸入規定代號,規定中文說明,規定英文說明,規定生效日
511,進口錠劑、膠囊狀食物製品，應向衛生福利部取得許可文件（該許可文件僅限申請之進口業者自行持用，不得授權其他業者使用）。如屬樣品、贈品，應向衛生福利部取得「貨品進口同意書」。,"For importation of foods in capsule or tablet form, approval from the Ministry of Health and Welfare is required. (This APPROVAL should be used exclusively by the owner himself and authorization to use by others is prohibited.) If the imported goods are samples or gifts, an ""import certificate"" approval from the Ministry of Health and Welfare is required.",1100120
513,（一）進口中藥材，應依５０２規定辦理。（二）進口非供中藥用者，應註明「非中藥用」字樣，免依５０２規定辦理。,"(1) Importation of Chinese medicine materials shall comply with the regulation of ""502"". (2) Importation of commodity not to be used as Chinese medicine shall be exempted from complying with the regulation of ""502"", but a clear indication that the commodity is ""not to be used as Chinese medicine"" is required.",1020904
514,（一）進口屬食品及其相關產品，應依Ｆ０１規定辦理。（二）進口屬中藥材，應依５０２規定辦理。（三）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importation of foods and food-relevant products is governed by the regulation of ""F01"".(2) Importation of Chinese medicine materials shall comply with the regulation of ""502"".(3) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1050115
522,進口管制藥品（包括人用、動物用麻醉藥品、影響精神藥品及其原料）應檢附衛生福利部食品藥物管理署核發之同意文件（輸入憑照或輸入同意書）；該同意文件第二聯於通關時經海關核驗簽署後，由進口人交還食品藥物管理署。,"For importation of controlled drugs (including narcotics drugs and psychotropic substances for human use or veterinary medicines as well as active pharmaceutical ingredient), an approval issued by Food and Drug Administration , Ministry of Health and Welfare is required. Importer must return one copy of the above mentioned approval  to issuing authority  after clearance and endorsement by customs",1021004
526,（一）進口診斷用之試劑及配置試劑，不論是否有底襯，不包括第３００２節或第３００６節所列者，應檢附衛生福利部核發之同意文件。（二）進口研究用、實驗用或非供人用之試劑，於進口報單填列專用代碼　ＤＨＭ９９９９９９９９９９９，免依上述規定辦理。,"(1)Importing reagents and prepared reagents for diagnostic use, whether on a backing or not, and other than those of heading No. 30.02 or 30.06, should provide an approval document issued by the Ministry of Health and Welfare. (2)Importing reagents for research use, or experiment use, or not for human use, should list the special code DHM99999999999 on the import application and is exempted from the above regulations.",1020904
528,（一）進口中藥材，應依５０２規定辦理（二）進口食品及相關產品，應依Ｆ０１規定辦理（三）進口非屬上述項目者，應註明實際用途，免依上述規定辦理。,"(1) Importation of Chinese medicine materials shall comply with the regulation of ""502"". (2)Importation of foods and food-relevant products is governed by the regulation of ""F01"".(3) Importation of commodity not belong to the aforesaid items shall be exempted the Practical use is required.",1050331
530,一、進口人用醫療器材應依下列規定辦理：（一）應檢附衛生福利部核發之醫療器材許可證影本或同意文件，並應申報填列醫療器材許可證號碼（十四碼）。（二）如屬危險性醫療儀器，除應檢附衛生福利部核發之醫療器材許可證影本，及申報填列醫療器材許可證號碼（十四碼）外，並須檢附衛生福利部核准醫療機構購置之同意文件。（三）進口專供藥物臨床試驗計畫之試驗用檢體採集耗材套組，於進口報單填列專用代碼ＤＨＭ００００００００５０４。二、非供人用者免依上述規定辦理。,"1. Importation of medical devices for human use must be handled according to the following regulations: (1) A photocopy of the medical devices pre-marketing license or an approval document issued by the Ministry of Health and Welfare should be submitted. In addition, the number of the pre-marketing license (consisting of 14 letters and digits) must be declared and listed in the import declaration . (2) If the medical devices being imported are dangerous, then besides the photocopy of the medical device pre-marketing license and the license number declared and listed in the import declaration, an approval of the medical institutions/facilities procurement from the Ministry of Health and Welfare is also required. (3) Importation of laboratory kit for medicaments (drugs and medical devices) clinical trial use should list the special code DHM00000000504 on the import application.2. Importation of medical devices which are not for human use are exempted from the above regulations.",1070501
550,應檢附環境部核發之同意文件。,Approval from the Ministry of Environment is required.,1120918
551,應檢附直轄市、縣市主管機關核發之同意文件；輸出國為日本且該同意文件註明屬有害事業廢棄物者，應另檢附日本海關已用印之『輸出移動書類』，憑以報關進口。,"Consent letter from a competent authority at the municipal, city or county government level is required. When the waste is stated as hazardous industrial waste in the mentioned consent letter, and is originated from Japan, the Movement Document with the stamp of approval from Japanese Customs should also be attached for the purpose of imports customs clearance.",1021225
552,進口環境用藥（包括原體、成品），應檢附：（一）１．環境部核發之環境用藥輸入許可證影本。非環境用藥輸入許可證持有者，應加附持有者之授權文件，或於環境用藥許可證影本上加蓋授權使用之章戳。２．環境用藥販賣業許可執照影本。但環境用藥製造業者進口環境用藥原體得檢附具該原體成分之環境用藥製造許可證影本；或（二）環境部核發之專供試驗研究、教育示範、專案防治或申請登記用樣品同意文件；或（三）非屬公告之環境用藥微生物製劑或污染防治用藥，應檢附環境部證明文件。,"For importation of environment medicines (including technical grade environment medicines, environment medicines products): (1)(a) A photocopy of an environment medicine import license issued by the Ministry of Environment, is required. Non-licensed importers shall submit an application together with an authorization documentation issued by the owner of such a license or photocopy of an environment sanitation medicine license with a stamp indicating that authorization to use it has been granted. (b) A photocopy of a license for dealing in environment medicines is required. But if the technical grade environment medicines are imported by a manufacturer, the manufacturer may submit a photocopy of a license for the manufacture of environment medicines containing the said components. Or(2)an approval issued by the Ministry of Environment is required, if the imported goods are samples provided exclusively for experimental research, educational demonstrations, special control projects, or for license application. Or(3)If the microbial preparations used as environment agents and pollution control agents are not announced by the Ministry of Environment (MOENV), a certificate issued by the MOENV is required for customs clearance.",1120918
553,進口毒性或關注化學物質，應檢附直轄市、縣（市）主管機關核發之毒性或關注化學物質許（核）可文件；如非屬環境部公告列管之毒性或關注化學物質，應檢附環境部化學物質管理署核發之不列管證明文件。,"For importation of toxic or concerned chemical substances, the permits/approval documents of toxic or concerned chemical substances form which has been approved by special municipality, county or city competent authority are required; but if the imports are not toxic or concerned chemical substances announced by the Ministry of Environment, the certificate of no control issued by the Chemicals Administration, Ministry of Environment is required.",1120918
554,（一）應檢附直轄市、縣（市）主管機關核發之指定電池汞、鎘含量確認文件。（二）如屬進口供檢驗之電池，且數量不超過３０個者，應檢附直轄市、縣（市）主管機關核發之同意函。,"(1)To import dry cell batteries, the designated battery mercury/cadmium content confirmation document issued by competent authority at the municipal, county (city) government level is required. (2)If the amount of batteries imported for laboratory testing is under 30, a competent authority at the municipal, county (city) government level permission letter is required.",1040828
555,輸入７．１ｋｗ以下含有ＨＣＦＣ－２２之空氣調節器，應檢附環境部同意文件。,Importing window-type air conditioners (including split-type) with a cooling capacity below 7.1kw and using HCFC-22 as a refrigerant should provide an approval document issued by the Ministry of Environment.,1120918
560,屬環境部公告之「屬產業用料需求之事業廢棄物」者，應於進口報單填列免證通關代碼「ＥＰＨ９０００００００００１」，據以報關進口。非屬上述者，應依５５１規定辦理。,"For the importation of ""Industrial Waste Required as Materials for Industrial Use"" announced by the Ministry of Environment, special code EPH90000000001 should be specified on the export declaration documents. For importing waste which is not contained in the aforesaid announcement, compliance with regulation 551 is required.",1120918
562,應檢附環境部同意文件。,Shall submit approval documents issued by the Ministry of Environment .,1120918
581,應檢附核能安全委員會同意文件。,Approval from the Nuclear Safety Commission is required.,1120927
601,進口航空器（含地面用飛行訓練器）應備妥下列文件，憑以辦理進口：（一）進口軍用國家航空器者，應檢附國防部同意文件。（二）進口中央氣象署辦理高空觀測作業用之氣象氣球，應檢附該署核准購買及同意輸入之證明文件。（三）進口上述（一）及（二）以外國家航空器（緝私、偵察、空照、測量、海防、消防及警察勤務等）者，限由中央部會二級以上機關申請，並檢附核准購買或同意輸入證明文件。（四）進口民用航空器者，應依附表經審核主管機關函轉交通部民用航空局核發同意文件。（附表內容：一、進口人為：民用航空運輸業、普通航空業、航空站地勤業、航空器維修業（民航局核給航空器專業維修工廠檢定證）、航空人員訓練機構、個人、法人，審核主管機關為：交通部民用航空局。二、進口人為：其他航空維修業、航太研發製造業，審核主管機關為：經濟部。三、進口人為：公、私立學校，審核主管機關為：教育部。）,"For importing aircraft (included ground flying trainers), documentations are required as following: 1. Importing aircraft for military use requires approval from the Ministry of National Defense. 2. Importing meteorological balloons for upper-air observation performed by the Central Weather Administration requires a permit for purchase or import issued by the governing authority.3. Importing national aircrafts other than use for those referred to in the preceding two subparagraphs (e.g. customs, aerial surveillance, aerial photography, aerial survey, coast guard, fire fighting, police services, etc.) requires permit or approval for purchase or import issued by authority-in-charge, however, the applicant is limited to the central government agency higher than (including) the second level under ministries or committees. 4. Importing aircraft for civil use, the application should be first submitted to the authority-in-charge as listed below for approval and referring to the Civil Aeronautics Administration, Ministry of Transportation and Communication (MOTC).(List:1. Importers: (1) Civil air transport enterprise (2) General aviation enterprise(3) Airport ground service provider (4) Aircraft repair and maintenance services provider (holding a certificate of aircraft repair and maintenance factory issued by the Civil Aeronautics Administration)(5) Aviation training organization(6) individual or juridical person, the authority-in-charge is Civil Aeronautics Administration, Ministry of Transportation and Communications. 2. Importers: (1) Other aeronautical repair and maintenance services provider (2) Aerospace research and development institute and manufacture, the authority-in-charge is Ministry of Economic Affairs. 3. Importers: Public or private school, the authority-in-charge is Ministry of Education.)",1120915
602,（一）進口屬「應經核准之電信管制射頻器材」，應取得國家通訊傳播委員會核發之電信管制射頻器材進口核准證或電信管制射頻器材輸入專用證號證明後由海關放行。但屬軍事專用者，應取得國防部核發之電信管制射頻器材進口許可證後由海關放行。（二）經國家通訊傳播委員會或其委託之驗證機構審驗合格之低功率射頻器材、無線電信終端設備或業餘無線電臺，免請領進口核准證，但應憑國家通訊傳播委員會或其委託之驗證機構核發之審驗證明辦理通關。（備註：原由交通部電信總局核發之前揭證明文件亦適用本規定。）,"(1) Imported controlled telecommunications radio-frequency devices shall be released by customs after obtaining an import approval certificate or a certificate of special permit number issued by the National Communications Commission (NCC). However, devices imported for military use shall require an approval document from the Ministry of National Defense prior to their release.(2) Telecommunications terminal equipment (TTE), low-power radio-frequency devices (LP), or amateur radio stations that have been issued an approval certificate by the NCC or a Regulatory Certification Body (RCB) may be exempt from applying for an import approval certificate. Nevertheless, these imports shall be released by customs after obtaining the TTE approval certificate, LP approval certificate, or amateur radio station approval certificate issued by the NCC or an RCB. (Note: An approval certificate issued by the Directorate of General Telecommunications (DGT) shall also be valid under this regulation.)",1110415
606,輸入船舶除下列船舶外，均應檢附交通部航港局同意文件：（一）不適用船舶法規定之船舶（軍事建制之艦艇、龍舟、獨木舟及非動力帆船、消防及救災機構岸置之公務小船、推進動力未滿十二瓩之非漁業用小船）。（二）非大陸地區製造之遊艇及動力帆船。（三）租賃船舶（不限國籍）。,"For the importation of vessels or ships, an approval from Maritime and Port Bureau(MPB) is required unless vessels or ships meet any one of following conditions:1. Ships not applied to the Law of Ships:(1) Naval crafts of military organization.(2) Dragon boats, canoes and non-powered sailboats.(3) Business small ships coast-anchored by the fire and rescue organization.(4) Small ships with a propulsive power under 12 kilowatts and not used for fishing.2. Yachts and powered sailboats made in a country or region other than Mainland China.3. Leased ships, regardless of their nationality, are excluded from consideration.",1130801
608,（一）駕駛盤限為左方者；但總重逾１５０公噸、寬度逾３．５公尺或高度逾５．６公尺者，不在此限。（二）進口符合上述但書規定者，應於進口報單註明「進口後不得請領牌照及臨時通行證，亦不得行駛於道路」字樣。,"(1) Only for steering wheel on left side. However, the vehicle of the gross vehicle weight more than 150MT, the width more than 3.5m or the height more than 5.6m is excluded.(2) Import in accordance with the provisions of the above-mentioned proviso, a clear indication ""shall not apply for the license plate and temporary permits, and shall not drive on the road after import "" should be marked in the import declaration.",1061016
612,進口航空器（含地面用飛行訓練器）用途之滅火器（含有三氟一溴甲烷（海龍１３０１）、二氟一氯一溴甲烷（海龍１２１１）或四氟二溴乙烷（海龍２４０２）藥劑）者，應依附表經審核主管機關函轉交通部民用航空局核發同意文件。（附表內容：（一）軍用國家航空器所需海龍滅火器者，審核主管機關為國防部。（二）軍用以外國家航空器（緝私、偵察、空照、測量、海防、消防及警察勤務等）所需海龍滅火器者，審核主管機關為各目的事業主管機關。（三）民用航空器所需海龍滅火器者，審核主管機關為交通部民用航空局。）,"For importing halon fire-extinguishers for aircraft (included ground flying trainers), containing bromotrifluoromethane (halon- 1301), bromochlorodifluoromethane (halon-1211) or dibromotetrafluoroethane (halon-2402), the applicant is first submitted to the authority-in-charge as listed below for approval and referring to the Civil Aeronautics Administration, Ministry of Transportation and Communication (MOTC). (List: 1. Importing halon fire-extinguishers for military use, the authority-in-charge is the Ministry of National Defense. 2. Importing halon fire-extinguishers for national aircrafts other than use for military (e.g. customs, aerial surveillance, aerial photography, aerial survey, coast guard, fire fighting, police services, etc.), the authority-in-charge is the central government agency higher than (including) the second level under ministries or committees. 3. Importing halon fire-extinguishers for civil aircraft use, the authority-in-charge is the Civil Aeronautics Administration, Ministry of Transportation and Communication.)",1050201
613,應檢附交通部航港局同意文件。,"Approval from the  Ministry of Transportation and Communications, Maritime and Port Bureau is required.",1070101
614,進口航空器用信號彈應備妥下列文件，憑以辦理進口：（一）進口軍用航空器使用者，應檢附國防部同意文件。（二）進口國家航空器使用（緝私、偵查、空照、測量、海防、消防及警察勤務等）者，應檢附中央部會二級以上目的事業主管機關同意文件。（三）進口民用航空器使用者，應檢附交通部民用航空局同意文件。,"For importing very flares for aircrafts, documentations are required as following: (1) Importing for military aircrafts use requires approval from the Ministry of National Defense. (2) Importing for national aircrafts use (e.g. customs, aerial surveillance, aerial photography, aerial survey, coast guard, fire fighting, police services, etc.) requires approval from the central government agency higher than (including) the second level under ministries or committees. (3) Importing for civil aircrafts use requires approval from the Civil Aeronautics Administration, MOTC.",1070101
615,應檢附內政部警政署同意文件。,"Approval from the National Police Agency, Ministry of the Interior is required.",1070101
616,應檢附交通部公路局同意文件。,"Approval from the Highway Bureau, Ministry of Transportation and Communications is required.",1140101
641,應檢附國防部同意文件。,Approval from the Ministry of National Defense is required.,0830701
801,（一）進口農藥，應依４０５規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口環境衛生用藥品，應依５５２規定辦理。（四）進口毒性或關注化學物質，應依５５３規定辦理。（五）進口非屬上述項目者，應檢具經環境部化學物質管理署核發之證明文件辦理通關放行。,"(1) Importation of pesticides is governed by the regulation of ""405"". (2) Importation of veterinary medicines is governed by the regulation of ""406"". (3) Importation of environment sanitation medicines is governed by the regulation of ""552"". (4) Importation of toxic or concerned chemical substances is governed by the regulation of ""553"". (5) Importation of commodity not belong to the aforesaid items, a certificate issued by the Chemicals Administration, Ministry of Environment is required for customs clearance.",1120918
802,（一）進口人用藥品，應依５０３規定辦理（二）進口動物用藥品，應依４０６規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2) Importation of veterinary medicines is governed by the regulation of ""406"".(3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use and veterinary medicines"" is required.",1040923
804,（一）進口人用藥品，應依５０３規定辦理（二）進口人用醫療器材，應依５０４規定辦理。（三）進口動物用藥品，應依４０６規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、人用醫療器材、動物用藥品」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2) Importation of medical devices for human use is governed by the regulation of""504"" (3)Importation of veterinary medicines is governed by the regulation of ""406"".(4)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicines, medical devices for human use and veterinary medicines"" is required.",1040923
805,（一）進口農藥，應依４０５規定辦理。（二）進口毒性或關注化學物質，應依５５３規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬農藥、毒性或關注化學物質」字樣，免依上述規定辦理。,"(1) Importation of pesticides is governed by the regulation of '405'. (2) Importation of toxic or concerned chemical substances is governed by the regulation of '553'.(3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is 'not pesticides, toxic or concerned chemical substances' is required.",1120918
806,（一）進口人用藥品，應依５０３規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口飼料或飼料添加物，應依４０４規定辦理。（四）進口食品添加物，應依５０８規定辦理。（五）進口醫療器材，應依５０４規定辦理。（六）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、飼料或飼料添加物、食品添加物、醫療器材」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2)Importation of veterinary medicines is governed by the regulation of ""406"".(3) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".(4) Importation of food additives is governed by the regulation of ""508"".(5) Importation of medical equipment is governed by the regulation of ""504"".(6)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use, veterinary medicines,  feedstuff or feedstuff additives, food additives and medical equipment"" is required.",1040923
807,（一）進口人用藥品，應依５０１規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of ""501"". (2)Importation of veterinary medicines is governed by the regulation of ""406"".(3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use and veterinary medicines"" is required.",1040923
808,（一）進口人用藥品，應依５０６規定辦理（二）進口動物用藥品，應依４０６規定辦理。（三）進口食品及食品添加物，應依５０８規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、食品及食品添加物」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""506"".(2) Importation of veterinary medicines is governed by the regulation of ""406"".(3) importation of food and food additives is governed by the regulation of ""508"".(4)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use, veterinary medicines, food and food additives"" is required.",1040501
809,（一）進口人用藥品，應依５０６規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口飼料或飼料添加物，應依４０４規定辦理。（四）進口食品添加物，應依５０８規定辦理。（五）進口醫療器材，應依５０４規定辦理。（六）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、飼料或飼料添加物、食品添加物、醫療器材」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""506"".(2)Importation of veterinary medicines is governed by the regulation of ""406"".(3) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".(4) Importation of food additives is governed by the regulation of ""508"".(5) Importation of medical equipment is governed by the regulation of ""504"".(6)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use, veterinary medicines,  feedstuff or feedstuff additives, food additives and medical equipment"" is required.",1040923
810,（一）進口人用藥品，應依５０３規定辦理。（二）進口環境衛生用藥品，應依５５２規定辦理。（三）進口動物用藥品，應依４０６規定辦理。（四）進口毒性或關注化學物質，應依５５３規定辦理。（五）進口非屬上述項目者，應註明「本貨品非屬人用藥品、環境衛生用藥品、動物用藥品、毒性或關注化學物質」字樣，免依上述規定辦理。,"(1)Importation of medicines for human use is governed by the regulation of '503'.(2)Importation of environment sanitation medicines is governed by the regulation of '552'.(3)Importation of veterinary medicines is governed by the regulation of '406'.(4)Importation of toxic or concerned chemical substances is governed by the regulation of '553'.(5)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is 'not to be used as human use, environment sanitation medicines, veterinary medicines, toxic or concerned chemical substances' is required.",1120918
814,（一）進口人用中藥藥品，應依５０５規定辦理。（二）進口動物用中藥藥品，應依４０６規定辦理。（三）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importation of traditional chinese drugs for human use is governed by the regulation of ""505"".  (2) Importation of  veterinary chinese medicines is governed by the regulation of ""406"".(3) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1040923
815,（一）進口醫療器材，應依５０４規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬醫療器材、動物用藥品」字樣，免依上述規定辦理。,"(1) Importation of medical equipment is governed by  the regulation of ""504"".  (2) Importation of veterinary medicines is governed by the regulation of ""406"".(3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not medical equipment and veterinary medicines"" is required.",1040923
818,（一）進口人用藥品，應依５０３規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口食品添加物，應依５０８規定辦理。（四）進口醫療器材，應依５０４規定辦理。（五）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、食品添加物、醫療器材」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2)Importation of veterinary medicines is governed by the regulation of ""406"". (3) Importation of food additives is governed by the regulation of ""508"".(4) Importation of medical equipment is governed by the regulation of ""504"".(5)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use, veterinary medicines, food additives and medical equipment"" is required.",1040923
820,（一）進口人用藥品，應依５０３規定辦理。（二）進口人用醫療器材，應依５０４規定辦理。（三）進口環境衛生用藥品，應依５５２規定辦理。（四）進口動物用藥品，應依４０６規定辦理。（五）進口毒性或關注化學物質，應依５５３規定辦理。（六）進口食品及食品添加物，應依５０８規定辦理。（七）進口非屬上述項目者，應註明「本貨品非屬人用藥品、人用醫療器材、環境衛生用藥品、動物用藥品、毒性或關注化學物質、食品及食品添加物」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of '503'. (2) Importation of medical devices for human use is governed by the regulation of '504'.(3) Importation of environment sanitation medicines is governed by the regulation of '552'.(4) Importation of veterinary medicines is governed by the regulation of '406'. (5) Importation of toxic or concerned chemical substances is governed by the regulation of '553'.(6) Importation of food and food additives is governed by the regulation of '508'.(7)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is 'not to be used as human use, medical devices for human use, environment sanitation medicines, veterinary medicines ,toxic or concerned chemical substances' , food and food additives ' is required.",1120918
821,（一）進口人用藥品，應依５０３規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口食品及相關產品，應依Ｆ０１辦理。（四）進口傳染病檢體或供檢驗用之疑似傳染病檢體，應依５０１規定辦理。（五）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、食品及相關產品、傳染病檢體或供檢驗用之疑似傳染病檢體」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of ""503"". (2) Importation of veterinary drugs is governed by the regulation of ""406"". (3) Importation of foods and food-relevant products is governed by the regulation of ""F01"". (4) Importation of specimens of communicable diseases or suspected specimens of communicable diseases for testing is governed by the regulation of ""501"". (5) Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary drug, foods and food-relevant products, and is not a specimen of communicable diseases or a suspected specimen of communicable diseases"" is required.",1130118
