輸入規定代號,規定中文說明,規定英文說明,規定生效日
823,（一）進口人用藥品，應依５０６規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口醫療器材，應依５０４規定辦理。（四）進口食品及相關產品，應依Ｆ０１辦理。（五）進口傳染病檢體或供檢驗用之疑似傳染病檢體，應依５０１規定辦理。（六）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、醫療器材、食品及相關產品、傳染病檢體或供檢驗用之疑似傳染病檢體」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of ""506"". (2) Importation of veterinary drugs is governed by the regulation of ""406"". (3) Importation of medical equipment is governed by the regulation of ""504"". (4) Importation of foods and food-relevant products is governed by the regulation of ""F01"". (5) Importation of specimens of communicable diseases or suspected specimens of communicable diseases for testing is governed by the regulation of ""501"". (6) Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary drug, medical equipment, foods and food-relevant products, and is not a specimen of communicable diseases or a suspected specimen of communicable diseases"" is required.",1130118
824,（一）進口人用藥品、人類血液：１．應依５０６規定辦理。２．進口研究用、教學或檢驗用之「非感染性人類血液」，於進口報單填列專用代碼ＤＨＭ９９９９９９９９９９０。（二）進口動物用藥品，應依４０６規定辦理。（三）進口醫療器材，應依５０４規定辦理。（四）進口感染性生物材料（供食品用途者除外），應依５０１規定辦理。（五）進口食品及相關產品，應依Ｆ０１辦理。（六）進口人類細胞株：１．應依５０１規定辦理。２．供研究用之人類細胞株（含人類幹細胞株、人類胚胎幹細胞株），於進口報單填列專用代碼ＤＨＫ９９９９９９９９９９９。（七）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、醫療器材、感染性生物材料、食品及相關產品、人類細胞株」字樣，免依上述規定辦理。,"1. Imported human drug products and human blood: (1) is governed by the regulation of ""506"". (2) The dedicated code (number) of import declaration (application for import) for imported non-infectious human blood for research, teaching or testing is DHM99999999990. 2. Importation of veterinary drugs is governed by the regulation of ""406"". 3. Importation of medical equipment is governed by the regulation of ""504"". 4. Importation of infectious biological materials for experimental study (except for foods and food-relevant products) is governed by the regulation of ""501"". 5. Importation of foods and food-relevant products is governed by the regulation of ""F01"". 6. Importation of human cell lines: (1) is governed by the regulation of ""501"". (2) Importation of human cell lines (including human stem cell lines, human embryonic stem cell lines) for research should list the special code DHK99999999999 on the import declaration. 7. Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary drug, medical equipment, infectious biological materials for experimental study, foods and food-relevant products, and is not a human cell line"" is required.",1130118
825,（一）進口飼料或飼料添加物，應依４０４規定辦理。（二）進口肥料，應依４０３規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬飼料或飼料添加物及肥料」字樣，免依上述規定辦理。,"(1)Importation of feedstuff or feedstuff additives is governed by the regulation of  ""404"". (2)Importation of fertilizer is governed by the regulation of ""403"". (3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as feedstuff or feedstuff additives  and  fertilizer "" is required.",1030601
826,（一）進口人用藥品，應依５０３規定辦理。（二）進口飼料或飼料添加物，應依４０４規定辦理。（三）進口食品添加物，應依５０８規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、飼料或飼料添加物及食品添加物」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".(3) Importation of food additives is governed by the regulation of ""508"".(4)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as medicines for human use, feedstuff or feedstuff additives  and  food additives "".",1031001
827,（一）進口食品及相關產品，應依Ｆ０１辦理。（二）進口人用藥品，應依５０３規定辦理。（三）進口一般工業用油脂，應依２５１規定辦理。（四）進口生質柴油用油脂，應依２５５規定辦理。（五）進口飼料或飼料添加物，應依４０４規定辦理。（六）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（七）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1)Importation of foods and food-relevant products is governed by the regulation of ""F01"".  (2) Importation of medicines for human use is governed by the regulation of ""503"".  (3) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".   (4) Importing oil for bio-diesel use is governed by the regulation of ""255"".   (5) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".  (6) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (7) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
828,（一）進口食品添加物或非食品添加物之食品原料，應依５０８規定辦理。（二）進口人用藥品，應依５０３規定辦理。（三）進口一般工業用油脂，應依２５１規定辦理。（四）進口生質柴油用油脂，應依２５５規定辦理。（五）進口飼料或飼料添加物，應依４０４規定辦理。（六）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（七）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) For importation of food additives or foods but not food additives , shall be governed by the regulation of ""508"".  (2) Importation of medicines for human use is governed by the regulation of ""503"".  (3) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".  (4) Importing oil for bio-diesel use is governed by the regulation of ""255"".  (5) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".  (6) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (7) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
829,（一）進口一般工業用油脂，應依２５１規定辦理。（二）進口生質柴油用油脂，應依２５５規定辦理。（三）進口飼料或飼料添加物，應依４０４規定辦理。（四）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（五）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".  (2) Importing oil for bio-diesel use is governed by the regulation of ""255"".   (3) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"".  (4) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (5) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
830,（一）進口食品及相關產品，應依Ｆ０１辦理。（二）進口人用藥品，應依５０３規定辦理。（三）進口一般工業用油脂，應依２５１規定辦理。（四）進口生質柴油用油脂，應依２５５規定辦理。（五）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（六）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1)Importation of foods and food-relevant products is governed by the regulation of ""F01"".  (2) Importation of medicines for human use is governed by the regulation of ""503"".  (3) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".  (4) Importing oil for bio-diesel use is governed by the regulation of ""255"".  (5) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (6) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
831,（一）進口食品添加物或非食品添加物之食品原料，應依５０８規定辦理。（二）進口人用藥品，應依５０３規定辦理。（三）進口一般工業用油脂，應依２５１規定辦理。（四）進口生質柴油用油脂，應依２５５規定辦理。（五）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（六）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) For importation of food additives or foods but not food additives , shall be governed by the regulation of ""508"".  (2) Importation of medicines for human use is governed by the regulation of ""503"".  (3) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".   (4) Importing oil for bio-diesel use is governed by the regulation of ""255"".  (5) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (6) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
832,（一）進口一般工業用油脂，應依２５１規定辦理。（二）進口生質柴油用油脂，應依２５５規定辦理。（三）依出進口廠商登記辦法登記之進口人，輸入油脂非屬應向上述主管機關申請許可文件者，應向經濟部國際貿易署申請輸入許可文件。（四）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importing industrial oils and fats not for food, fodder and waste use is governed by the regulation of ""251"".   (2) Importing oil for bio-diesel use is governed by the regulation of ""255"".  (3) Those who have registered as importers according to the Regulations Governing Registration of Exporters and Importers and import the above goods shall apply for import approval documents with competent authority of those specific items. If the imported goods are other than the above-mentioned items, importers shall apply for import approval documents with the International Trade Administration.  (4) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130301
834,（一）進口人用藥品，應依５０３規定辦理（二）進口動物用藥品，應依４０６規定辦理。（三）進口屬食品添加物，應依５０８規定辦理。（四）進口非屬上述項目者，應註明『本貨品非屬人用藥品、動物用藥品、食品添加物』字樣，免依上述規定辦理。」,"(1) Importation of medicines for human use is governed by the regulation of""503"".(2) Importation of veterinary medicines is governed by the regulation of ""406"", (3) Importation of food additives is governed by the regulation of ""508"".(4)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human use, veterinary medicines and food additives"" is required.",1050115
835,（一）進口人用藥品，應依５０６規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口傳染病檢體或供檢驗用之疑似傳染病檢體，應依５０１規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、傳染病檢體或供檢驗用之疑似傳染病檢體」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of ""506"". (2) Importation of veterinary drugs is governed by the regulation of ""406"". (3) Importation of specimens of communicable diseases or suspected specimens of communicable diseases for testing is governed by the regulation of ""501"". (4)Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary drug, and is not a specimen of communicable diseases or a suspected specimen of communicable diseases"" is required.",1130118
836,（一）進口人用藥品、人類檢體：１．應依５０６規定辦理。２．進口研究用、教學或檢驗用之「非感染性人類檢體」，於進口報單填列專用代碼ＤＨＭ９９９９９９９９９９０。（二）進口人類細胞株：１．應依５０１規定辦理。２．供研究用之人類細胞株（含人類幹細胞株、人類胚胎幹細胞株），於進口報單填列專用代碼ＤＨＫ９９９９９９９９９９９。（三）進口動物用藥品，應依４０６規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、人類檢體、人類細胞株、動物用藥品」字樣，免依上述規定辦理。,"1.Imported human drug products, human specimens: (1) is governed by regulation ""506"". (2) The dedicated code (number) of import declaration (application for import) for imported non-infectious human specimens for research, teaching or testing is DHM99999999990. 2. Importation of human cell lines: (1) is governed by regulation "" 501"". (2) Importation of human cell lines (including human stem cell lines, human embryonic stem cell lines) for research should list the special code DHK99999999999 on the import application. 3. Importation of veterinary medicines is governed by regulation ""406"". 4. Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary medicine, and is not a human cell line or a specimen of human or animal origin"" is required.",1061201
837,（一）進口農藥，應依４０５規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口環境衛生用藥品，應依５５２規定辦理。（四）進口毒性或關注化學物質，應依５５３規定辦理。（五）進口飼料或飼料添加物，應依４０４規定辦理。（六）進口非屬上述項目者，應檢具經環境部化學物質管理署核發之證明文件辦理通關放行。,"(1) Importation of pesticides is governed by the regulation of ""405"". (2) Importation of veterinary medicines is governed by the regulation of ""406"". (3) Importation of environment sanitation medicines is governed by the regulation of ""552"". (4) Importation of toxic or concerned chemical substances is governed by the regulation of ""553"". (5) Importation of feedstuff or feedstuff additives is governed by the regulation of ""404"". (6)Importation of commodity not belong to the aforesaid items, a certificate issued by the Chemicals Administration, Ministry of Environment is required for customs clearance.",1120918
838,（一）進口屬食品添加物，應依５０８規定辦理。（二）進口屬人用藥品，應依５０３規定辦理。（三）進口非屬上述用途者，應依５５３規定辦理。（四）進口本項貨品未取得上開主管機關輸入許（核）可文件者，不准進口。,"(1)For importation of food additives,it is governed by the regulation of ""508"".(2)For importation of drug for human use,it is governed by the regulation of ""503"".(3)For importation of commodity not belonging to the aforesaid use,it is governed by the regulation of ""553"".(4)For importing good under this item without import the permits/ approval documents from the competent authority, is not allowed to be imported.",1100901
839,（一）應依５０４及Ｆ０３規定辦理。　（二）旅客入境攜帶醫用口罩總數量在２５０片以下者，免依５０４規定辦理。（三）旅客入境攜帶醫用口罩免依Ｆ０３規定辦理。,1.Procedures shall be handled in accordance with regulations 504 and F03. 2.Visitors entering with fewer than 250 medical masks are exempt from regulation 504. 3.Visitors entering with medical masks are exempt from regulation F03.,1120501
840,（一）進口乾品，應依５０２及Ｈ０１規定辦理。（二）進口新鮮品，應依Ｆ０１規定辦理，並於進口報單填列５０２規定免證專用代碼。（三）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importation of dry goods is governed by the regulation of ""502"" and ""H01"". (2) Importation of fresh goods is governed by the regulation of ""F01"", and the exemption special code of the regulation of ""502"" should be listed on the import application for these Goods. (3) Goods under this item without import approval document from the competent authority is not allowed to be imported.",1100302
842,（一）進口人用藥品、人類檢體：１．應依５０６規定辦理。２．進口研究用、教學或檢驗用之「非感染性人類檢體」，於進口報單填列專用代碼ＤＨＭ９９９９９９９９９９０。（二）進口動物用藥品，應依４０６規定辦理。（三）進口中藥材，應依５０２規定辦理。（四）進口傳染病檢體或供檢驗用之疑似傳染病檢體，應依５０１規定辦理。（五）進口非屬上述項目者，應註明「本貨品非屬人用藥品、人類檢體、動物用藥品、中藥材、傳染病檢體或供檢驗用之疑似傳染病檢體」字樣，免依上述規定辦理。,"1. Imported human drug products, human specimens: (1) is governed by the regulation of ""506"". (2) The dedicated code (number) of import declaration (application for import) for imported non-infectious human specimens for research, teaching or testing is DHM99999999990. 2. Importation of veterinary drugs is governed by the regulation of ""406"". 3. Importation of Chinese medicine materials shall comply with the regulation of ""502"". 4. Importation of specimens of communicable diseases or suspected specimens of communicable diseases for testing is governed by the regulation of ""501"". 5. Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as human medicine or veterinary drug, and is not a specimen of human or animal origin, Chinese medicine materials, a specimen of communicable diseases or a suspected specimen of communicable diseases"" is required.",1130118
843,（一）進口環境衛生用藥品，應依５５２規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口毒性或關注化學物質，應依５５３規定辦理。（四）進口非屬上述項目者，應註明「本貨品非屬環境衛生用藥品、動物用藥品、毒性或關注化學物質」字樣，免依上述規定辦理。,"(1) Importation of environment sanitation medicines is governed by the regulation of '552'.(2) Importation of veterinary medicines is governed by the regulation of '406'. (3) Importation of toxic or concerned chemical substances is governed by the regulation of '553'.(4) Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is 'not to be used as environment sanitation medicines, veterinary medicines ,toxic or concerned chemical substances' is required.",1120918
844,（一）進口人用藥品，應依５０６規定辦理（二）進口動物用藥品，應依４０６規定辦理（三）進口醫療器材，應依５０４規定辦理（四）進口非屬上述項目者，應註明「本貨品非屬人用藥品、動物用藥品、醫療器材」字樣，免依上述規定辦理。,"(1) Importation of medicines for human use is governed by the regulation of ""506"". (2) Importaition of veterinary medicines is governed by the regulation of ""406"". (3) Importation of medical equipment is governed by the regulation of ""504"". (4) Importation of commodity not belong to the aforesaid items shall be exempted from ""the said regulations, but a clear indication that the commodity is not to be used as human medicines, veterinary medicines, medical equipment"" is required.",1120623
845,（一）進口毒性或關注化學物質，應依５５３規定辦理。（二）進口食品添加物，應依５０８規定辦理。（三）進口本項貨品未取得上開主管機關輸入許（核）可文件者，不准進口。,"For importation of toxic chemical substances or concerned chemical substances is governed by the regulation of '553'. (2) For importation of food additives is governed by the regulation of '508'. (3) For importing good under this item without import the permits/ approval documents from the competent authority, is not allowed to be imported.",1130201
846,（一）進口人用藥品，應依５０６規定辦理。（二）進口動物用藥品，應依４０６規定辦理。（三）進口進口毒性或關注化學物質，應依５５３規定辦理。（四）進口本項貨品未取得上開主管機關輸入許（核）可文件者，不准進口。,"Importation of medicines for human use is governed by the regulation of ""506"". (2) Importation of veterinary medicines is governed by the regulation of ""406"". (3) Importation of toxic and concerned chemical substances is governed by the regulation of ""553"". (4) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1130201
847,（一）進口食品添加物，應依５０８規定辦理。（二）進口感染性生物材料（供食品用途者除外），應依５０１規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬食品添加物、感染性生物材料」字樣，免依上述規定辦理。,"(1) Importation of food additives is governed by the regulation of ""508"". (2) Importation of infectious biological materials for experimental study (except for foods and food-relevant products) is governed by the regulation of ""501"". (3) Importation of commodities not belonging to the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is ""not to be used as food additives and infectious biological materials for experimental study"" is required.",1130118
A01,進口時應依飼料管理法第二十二條之二規定，向農業部公告委任之動植物防疫檢疫署及其所屬各分署申報輸入查驗。,Importation of feeds shall be made in accordance with Article 22-2 of the Feeds Control Act. The importer shall apply for inspection to the Animal and Plant Health Inspection Agency (APHIA) and its branch offices which are delegated by the Ministry of Agriculture.,1120908
A02,本項下商品如屬飼料，進口時應依飼料管理法第二十二條之二規定，向農業部公告委任之動植物防疫檢疫署及其所屬各分署申報輸入查驗。,Importation of feeds under this item shall be made in accordance with Article 22-2 of the Feeds Control Act. The importer shall apply for inspection to the Animal and Plant Health Inspection Agency (APHIA) and its branch offices which are delegated by the Ministry of Agriculture.,1120801
B01,進口時，應依農業部動植物防疫檢疫署編訂之「應施檢疫動植物品目表」及有關檢疫規定辦理。,"Importation shall be subject to the prescription set forth in the ""List  of Items Subject to Animal & Plant Quarantine"" and relevant quarantine requirements compiled by the Animal and Plant Health Inspection Agency, Ministry of Agriculture.",1120908
C01,經濟部標準檢驗局公告應施進口檢驗商品,"Items subject to legal import inspection announced by the Bureau of Standards, Metrology and Inspection, Ministry of Economic Affairs.",0880701
C02,本項下部分商品屬於經濟部標準檢驗局公告應施進口檢驗商品。,"Some of the commodities under this item subject to legal import inspection announced by the Bureau of Standards, Metrology and Inspection, ministry of economic affairs.",0880501
F01,輸入商品應依照「食品及相關產品輸入查驗辦法」規定，向衛生福利部食品藥物管理署申請辦理輸入查驗。【註：相關規定應洽衛生福利部食品藥物管理署】。,"Importation of foods shall follow the""Regulations for Inspection of imported Foods and Related Products"".The importer shall apply for inspection to the Food and Drug Administration,Ministry of Health and Welfare(FDA).(Note:Please contact FDA for relevant inspection requirements of food imports.)",1030210
F02,本項下商品如屬食品、食品器具、食品容器或包裝、食品用洗潔劑等食品相關用途或含有前述物品者，應依照「食品及相關產品輸入查驗辦法」規定，向衛生福利部食品藥物管理署申請辦理輸入查驗。【註：相關規定應洽衛生福利部食品藥物管理署】。,"Importation of products used for food-relevant purposes including foods, food utensils, food containers or packaging, food cleansers, or the products containing preceding articles shall follow the "" Regulations for Inspection of imported Food and Food-relevant products "" promulgated by Ministry of Health and Welfare. The importer shall apply for inspection to the Food and Drug Administration, Ministry of Health and Welfare (FDA). (Note:Please contact FDA for relevant inspection requirements of food imports.)",1050422
F03,輸入醫療器材應依照「輸入醫療器材邊境抽查檢驗辦法」規定，向衛生福利部食品藥物管理署申請辦理輸入查驗。,"Importation of medical devices shall follow the ""Regulations Governing Border Inspection and Examination of Imported Medical Devices"". The importer shall apply for inspection to the Food and Drug Administration, Ministry of Health and Welfare (FDA).",1100501
H01,衛生福利部公告應施輸入查驗中藥材，應憑衛生福利部食品藥物管理署核發之輸入許可證通知進口。,"Items subject to legal inspection of imported Chinese herbs announced by the Ministry of Health and Welfare. The importer shall apply for inspection to the Food and Drug Administration, Ministry of Health and Welfare.",1020801
H02,本項下部分中藥材係衛生福利部公告應施輸入查驗中藥材，應憑衛生福利部食品藥物管理署核發之輸入許可證通知進口。,"Some of the commodities under this item subject to legal inspection of imported Chinese herbs announced by the Ministry of Health and Welfare. The importer shall apply for inspection to the Food and Drug Administration, Ministry of Health and Welfare.",1020801
M25,進口中國大陸製且供小客車或小客貨兩用車使用者，應取得經濟部產業發展署同意文件。如非前開用途者，於進口報單填列專用代碼ＩＤ９９９９９９９９９９９１，免依上述規定辦理。,"Those who import products made in mainland China for use in passenger cars or minivans must obtain approval from the Industrial Development Administration, Ministry of Economic Affairs. If they are not for the purpose specified above, the special code ID999999999991 should be indicated on the import application, and they are exempted from the above regulations.",1130801
M26,進口中國大陸製且供小客車或小客貨兩用車使用之車軸及車架者，應取得經濟部產業發展署同意文件。如非前開用途者，於進口報單填列專用代碼　ＩＤ９９９９９９９９９９９１，免依上述規定辦理。,"Those who import axles and frames made in mainland China for use in passenger cars or minivans must obtain approval from the Industrial Development Administration, Ministry of Economic Affairs. If they are not for the purpose specified above, the special code ID999999999991 should be indicated on the import application, and they are exempted from the above regulations.",1130801
M27,進口中國大陸製者，應檢附經濟部產業發展署同意文件,"Those who import products made in mainland China, must obtain approval from the Industrial Development Administration, Ministry of Economic Affairs.",1140115
M88,自中國大陸進口應檢附經濟部國際貿易署備查文件。,"Importation from Mainland China shall apply for reference document from the International Trade Administration, MOEA.",1121016
MP1,（一）大陸物品有條件准許輸入，應符合「大陸物品有條件准許輸入項目、輸入管理法規彙總表」之規定。（二）「大陸物品有條件准許輸入項目、輸入管理法規彙總表」內列有特別規定「ＭＸＸ」代號者，應向國際貿易署辦理輸入許可證；未列有特別規定「ＭＸＸ」代號者，依一般簽證規定辦理。,"(1) Importation of Mainland China products in this category is conditionally permitted. The importation should conform to the regulations of ""Consolidated List of Conditional Import Items of Mainland China Origin and Regulations Governing Import of Mainland China Origin Commodities"".(2) Importation of items on the ""Consolidated List of Conditional Import Items of Mainland China Origin and Regulations Governing Import of Mainland China Origin Commodities"" with ""MXX"" code requires Import Permit issued by the International Trade Administration; Importation of items without ""MXX"" code shall be subject to the general code of import permit issuance.",1120926
MW0,大陸物品不准輸入。,Importation of Mainland China products is prohibited.,0880420
W01,輸入酒品應依照財政部及衛生福利部會銜發布「進口酒類查驗管理辦法」規定，向財政部申請辦理輸入查驗。,"Importation of alcohol shall be made in accordance with ""The Administrative Regulations Governing the Inspection of Imported Alcohol"" jointly promulgated by the Ministry of Finance and the Ministry of Health and Welfare. The importer shall apply for inspection to the Ministry of Finance.",1050205
 
